,clusters,x,y,Cluster_count,Fx,Fy,magnitude
106,105,-2656.480952380952,1988.3095238095239,21,-52712.689999999995,-323146.12,327417.2300873772
107,106,-1351.830249307479,-2413.1985041551247,361,-132408.9987,774001.70956,785245.6872460614
108,107,-1730.7012121212122,-1940.3003030303032,99,-425710.5892,-473384.3422,636649.2293226607
109,108,-1855.252837181045,-2281.203736330498,3292,-7229050.41302,-7517574.114933,10429433.850765597
110,109,-145.15798974358975,-3248.9212820512817,39,-60221.0985,-10131.252,61067.36421063387
111,110,-1861.8780392156862,-3265.6521568627454,51,-13047.913199999999,-8928.6449,15810.39969845893
112,111,29.55065408333333,2947.5755555555556,36,77117.558,-241386.5611,253405.97789232872
113,112,1682.4574074074073,2679.0955555555556,27,-44267.355,-30275.0464,53630.00236078848
114,113,394.9258690476191,3514.1994642857144,504,-179870.6417,34251.780481,183102.7913814762
115,114,-2478.638039215686,1623.6860784313726,51,-34364.7615,59612.90303,68808.68434010395
116,115,-2958.2333333333336,-460.0977142857143,21,-5206.2480000000005,-109865.3178,109988.60428941037
117,116,2692.6925108225105,1917.5102164502164,231,-311224.8521,128285.83780000001,336627.6351470788
118,117,916.3801500000001,-2830.9669999999996,60,-86976.70417900001,-33923.957,93358.3522154238
119,118,-2565.0873170731707,-1344.9297560975608,41,-1854.846520000001,77965.208,77987.26892317759
120,119,440.70529999999997,-3182.2258,200,18139.4285,-523854.45309,524168.4146231339
121,120,253.6259387755102,-3085.9120408163267,49,80433.503,118352.82190000001,143097.65496521644
122,121,196.63977192982458,-3223.2957894736846,57,51206.1431,-139658.5098,148750.02000246715
123,122,743.9561034482758,-3278.121724137931,29,-88844.9496,11102.422999999999,89535.96409207571
124,123,637.9067239819004,-3187.3157918552038,221,-498093.0535,238411.96997,552210.9717942319
125,124,1860.819001814882,2756.425172413793,551,-682118.10772,-486921.01272,838079.4625259492
126,125,984.0721666666667,3624.910666666666,30,13324.88668,1742.27839,13438.308636993808
127,126,792.2984018987343,3575.2562025316456,632,-673442.410249,68834.67161,676951.1739687279
128,127,857.5676774193548,2580.9572580645163,62,29533.8546,-20351.204100000003,35866.6987030281
129,128,-3393.987769230769,-1618.2647692307694,130,290324.5844,-7045.695169999999,290410.0654720171
130,129,1125.4725833333332,2506.7590833333334,120,52312.775799999996,-76926.80103999999,93028.8086032967
131,130,1246.4136,2543.438,25,11357.210999999998,-16929.669,20386.26827421051
132,131,1224.694193548387,3065.1993548387095,31,14757.849999999999,4732.4312,15498.065740124906
133,132,1020.6331320754717,2568.2956603773587,53,-21766.848,-11012.237000000001,24393.954898689
134,133,1278.950163265306,2391.968857142857,245,-691401.3911,-85961.2392,696724.6358926996
135,134,1583.5322300884955,2433.3788672566375,565,-2058742.4599,1139222.79136,2352923.518635736
136,135,-1698.4065789473684,-1800.4405263157896,76,-219114.9238,62211.863,227775.47218656045
137,136,1396.3905504587156,3041.3245871559634,109,-20308.888709999992,-5884.778910000001,21144.303806338623
138,137,1453.9595104895104,2648.263986013986,143,-211184.68970000002,-35243.7427,214105.3352048685
139,138,1474.3309352517986,2892.1507553956835,278,14193.10345999999,-54175.45696,56003.78846695174
